"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 06 21:09:11 GMT 2023","Mon Mar 06 21:09:11 GMT 2023","204","","Correctness of the results","","","","Correctness of the results",""
"passed","Mon Mar 06 21:09:17 GMT 2023","Mon Mar 06 21:09:18 GMT 2023","329","","Clearing of searching criteria","","","","Clearing of searching criteria",""
"failed","Mon Mar 06 21:09:15 GMT 2023","Mon Mar 06 21:09:15 GMT 2023","344","","Correctness of the search summary and term","","","","Correctness of the search summary and term",""
"unknown","Mon Mar 06 21:09:18 GMT 2023","Mon Mar 06 21:09:18 GMT 2023","69","","Sample of undefined steps","","","","Sample of undefined steps",""
