"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","F02 Searching – Clearing of searching criteria","","0","0","1","0","1"
"","F01 Searching – Correctness","","1","0","1","0","0"
