"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Thu Mar 02 22:50:08 GMT 2023","Thu Mar 02 22:50:08 GMT 2023","56","","Sample of undefined steps","","","","Sample of undefined steps",""
"passed","Thu Mar 02 22:50:07 GMT 2023","Thu Mar 02 22:50:08 GMT 2023","238","","Clearing of searching criteria","","","","Clearing of searching criteria",""
"passed","Thu Mar 02 22:50:02 GMT 2023","Thu Mar 02 22:50:02 GMT 2023","153","","Correctness of the results","","","","Correctness of the results",""
"failed","Thu Mar 02 22:50:05 GMT 2023","Thu Mar 02 22:50:06 GMT 2023","284","","Correctness of the search summary and term","","","","Correctness of the search summary and term",""
